quarter,metric,first_release_date,first_value,latest_value,last_update_date,base_year
2020-Q3,consumption_yoy,2026-05-30,-1.7,-1.7,2026-06-13,2015
2020-Q4,consumption_yoy,2026-05-30,-3.1,-3.1,2026-06-13,2015
2021-Q1,consumption_yoy,2026-05-30,-1.7,-1.7,2026-06-13,2015
2021-Q2,consumption_yoy,2026-05-30,11.6,11.6,2026-06-13,2015
2021-Q3,consumption_yoy,2026-05-30,-4.1,-4.1,2026-06-13,2015
2021-Q4,consumption_yoy,2026-05-30,3.6,3.6,2026-06-13,2015
2022-Q1,consumption_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2022-Q2,consumption_yoy,2026-05-30,18.8,18.8,2026-06-13,2015
2022-Q3,consumption_yoy,2026-05-30,15.3,15.3,2026-06-13,2015
2022-Q4,consumption_yoy,2026-05-30,7.0,7.0,2026-06-13,2015
2023-Q1,consumption_yoy,2026-05-30,6.0,6.0,2026-06-13,2015
2023-Q2,consumption_yoy,2026-05-30,4.6,4.6,2026-06-13,2015
2023-Q3,consumption_yoy,2026-05-30,3.9,3.9,2026-06-13,2015
2023-Q4,consumption_yoy,2026-05-30,3.7,3.7,2026-06-13,2015
2024-Q1,consumption_yoy,2026-05-30,4.6,4.6,2026-06-13,2015
2024-Q2,consumption_yoy,2026-05-30,5.7,5.7,2026-06-13,2015
2024-Q3,consumption_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2024-Q4,consumption_yoy,2026-05-30,4.8,4.8,2026-06-13,2015
2025-Q1,consumption_yoy,2026-05-30,4.8,4.8,2026-06-13,2015
2025-Q2,consumption_yoy,2026-05-30,5.1,5.1,2026-06-13,2015
2025-Q3,consumption_yoy,2026-05-30,5.8,5.8,2026-06-13,2015
2025-Q4,consumption_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2026-Q1,consumption_yoy,2026-05-30,4.7,4.7,2026-06-13,2015
2016-Q1,investment_yoy,2026-05-30,0.1,0.1,2026-06-13,2015
2016-Q2,investment_yoy,2026-05-30,6.1,6.1,2026-06-13,2015
2016-Q3,investment_yoy,2026-05-30,1.9,1.9,2026-06-13,2015
2016-Q4,investment_yoy,2026-05-30,2.1,2.1,2026-06-13,2015
2017-Q1,investment_yoy,2026-05-30,9.5,9.5,2026-06-13,2015
2017-Q2,investment_yoy,2026-05-30,3.9,3.9,2026-06-13,2015
2017-Q3,investment_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2017-Q4,investment_yoy,2026-05-30,4.4,4.4,2026-06-13,2015
2018-Q1,investment_yoy,2026-05-30,0.2,0.2,2026-06-13,2015
2018-Q2,investment_yoy,2026-05-30,1.7,1.7,2026-06-13,2015
2018-Q3,investment_yoy,2026-05-30,2.8,2.8,2026-06-13,2015
2018-Q4,investment_yoy,2026-05-30,0.6,0.6,2026-06-13,2015
2019-Q1,investment_yoy,2026-05-30,-3.4,-3.4,2026-06-13,2015
2019-Q2,investment_yoy,2026-05-30,-0.6,-0.6,2026-06-13,2015
2019-Q3,investment_yoy,2026-05-30,-3.7,-3.7,2026-06-13,2015
2019-Q4,investment_yoy,2026-05-30,-0.7,-0.7,2026-06-13,2015
2020-Q1,investment_yoy,2026-05-30,-4.4,-4.4,2026-06-13,2015
2020-Q2,investment_yoy,2026-05-30,-29.0,-29.0,2026-06-13,2015
2020-Q3,investment_yoy,2026-05-30,-11.4,-11.4,2026-06-13,2015
2020-Q4,investment_yoy,2026-05-30,-11.7,-11.7,2026-06-13,2015
2021-Q1,investment_yoy,2026-05-30,-3.1,-3.1,2026-06-13,2015
2021-Q2,investment_yoy,2026-05-30,16.6,16.6,2026-06-13,2015
2021-Q3,investment_yoy,2026-05-30,-10.6,-10.6,2026-06-13,2015
2021-Q4,investment_yoy,2026-05-30,-2.8,-2.8,2026-06-13,2015
2022-Q1,investment_yoy,2026-05-30,0.3,0.3,2026-06-13,2015
2022-Q2,investment_yoy,2026-05-30,5.7,5.7,2026-06-13,2015
2022-Q3,investment_yoy,2026-05-30,13.2,13.2,2026-06-13,2015
2022-Q4,investment_yoy,2026-05-30,8.9,8.9,2026-06-13,2015
2023-Q1,investment_yoy,2026-05-30,5.0,5.0,2026-06-13,2015
2023-Q2,investment_yoy,2026-05-30,5.5,5.5,2026-06-13,2015
2023-Q3,investment_yoy,2026-05-30,5.0,5.0,2026-06-13,2015
2023-Q4,investment_yoy,2026-05-30,6.1,6.1,2026-06-13,2015
2024-Q1,investment_yoy,2026-05-30,10.0,10.0,2026-06-13,2015
2024-Q2,investment_yoy,2026-05-30,11.6,11.6,2026-06-13,2015
2024-Q3,investment_yoy,2026-05-30,15.9,15.9,2026-06-13,2015
2024-Q4,investment_yoy,2026-05-30,11.1,11.1,2026-06-13,2015
2025-Q1,investment_yoy,2026-05-30,9.6,9.6,2026-06-13,2015
2025-Q2,investment_yoy,2026-05-30,12.0,12.0,2026-06-13,2015
2025-Q3,investment_yoy,2026-05-30,7.4,7.4,2026-06-13,2015
2025-Q4,investment_yoy,2026-05-30,9.3,9.3,2026-06-13,2015
2026-Q1,investment_yoy,2026-05-30,7.3,7.3,2026-06-13,2015
2016-Q1,government_yoy,2026-05-30,2.8,2.8,2026-06-13,2015
2016-Q2,government_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2016-Q3,government_yoy,2026-05-30,2.3,2.3,2026-06-13,2015
2016-Q4,government_yoy,2026-05-30,-4.1,-4.1,2026-06-13,2015
2017-Q1,government_yoy,2026-05-30,7.8,7.8,2026-06-13,2015
2017-Q2,government_yoy,2026-05-30,3.5,3.5,2026-06-13,2015
2017-Q3,government_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2017-Q4,government_yoy,2026-05-30,7.0,7.0,2026-06-13,2015
2018-Q1,government_yoy,2026-05-30,0.4,0.4,2026-06-13,2015
2018-Q2,government_yoy,2026-05-30,3.2,3.2,2026-06-13,2015
2018-Q3,government_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2018-Q4,government_yoy,2026-05-30,4.2,4.2,2026-06-13,2015
2019-Q1,government_yoy,2026-05-30,5.9,5.9,2026-06-13,2015
2019-Q2,government_yoy,2026-05-30,0.0,0.0,2026-06-13,2015
2019-Q3,government_yoy,2026-05-30,0.4,0.4,2026-06-13,2015
2019-Q4,government_yoy,2026-05-30,0.6,0.6,2026-06-13,2015
2020-Q1,government_yoy,2026-05-30,5.4,5.4,2026-06-13,2015
2020-Q2,government_yoy,2026-05-30,0.6,0.6,2026-06-13,2015
2020-Q3,government_yoy,2026-05-30,7.9,7.9,2026-06-13,2015
2020-Q4,government_yoy,2026-05-30,2.9,2.9,2026-06-13,2015
2021-Q1,government_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2021-Q2,government_yoy,2026-05-30,10.6,10.6,2026-06-13,2015
2021-Q3,government_yoy,2026-05-30,1.8,1.8,2026-06-13,2015
2021-Q4,government_yoy,2026-05-30,5.3,5.3,2026-06-13,2015
2022-Q1,government_yoy,2026-05-30,7.4,7.4,2026-06-13,2015
2022-Q2,government_yoy,2026-05-30,3.4,3.4,2026-06-13,2015
